"id","cuisine","rating","review_count"
"TadRviRC9Z1WhgSsGi3Yow","Chinese",3.5,75
"QBhHq4eN7rtFzmDUciVL-Q","Chinese",3.5,114
"3K7Kc82bhU6-qjAjsBs3Fw","Chinese",4,493
"ud5ZnsGKFsgw0KErntD2lA","Chinese",3.5,96
"YCen62jqSWhPOAorQjSZdQ","Chinese",3.5,80
"vZgJyMZlpSSS_Y-duxd4_A","Chinese",4,217
"bgnM6uy66zupYzb4QdL3vA","Chinese",3.5,86
"LYp3izplqg0x-h9CBlb-MQ","Chinese",2.5,186
"6gE9N5wD4K-bbmSEBm7Lhw","Chinese",3.5,45
"dv-RaOwKFizDe4c5-sVJ5w","Chinese",4,209
"hdiQrGDT8enOzpxaipBzNA","Chinese",3,103
"RffIwNrMmEf5auDVP1eURA","Chinese",3.5,75
"KavW0SjAiElP2ajaexNQDQ","Chinese",4,40
"_4UvguU5z2hMsHXlYedFXw","Chinese",4.5,24
"LztkKM-lvRraBbS9TVXzcg","Chinese",3.5,75
"dSaMEWm0EQTG4TOeUetU5w","Chinese",3,105
"VQ5YGa4L4AT3ugF61hM9qQ","Chinese",4.5,13
"E1QQuFMX7DAEt8jV4attkA","Chinese",3.5,81
"iSjPBJRiWqrgxW7ZM3CGig","Chinese",4,157
"3NYQQckItp9l7GDzALw79w","Chinese",3.5,48
"rJeh77RIvtmISisvVoy6TA","Chinese",3,108
"6wJOojpF2c4lLeBNbTBB0A","Chinese",4,142
"8xDbEfYXuPwi-94LLcb22A","Chinese",4,51
"njqbo43rFzj934E5eHbPCw","Chinese",3.5,52
"sxv1oJxG8uu6u4tjKHiJMA","Chinese",4,26
"MYPes7EWP5aLiVG1Z_9eFQ","Chinese",3,111
"Qgv2vyUV-DwK8YwrhU-jtw","Chinese",3.5,55
"nA0FWQ0jf9yOCeuBTERC_w","Chinese",3,166
"NebgteFykeM1gwiVgPcCHw","Chinese",4,478
"omOPvWNdukvWOC0peXPyng","Chinese",4,146
"-4pRolL6EQddbv4iHrIZwQ","Chinese",3.5,81
"OQY_QgAYZhuNBsza2sl4YQ","Chinese",3.5,73
"s5JNxy0eAFgxS2Poi73ODw","Chinese",3.5,59
"OfqANzeWRlZrdHQuG7pI0w","Chinese",3,143
"-P9Wu5pDLTpmV3QBxTSgYg","Chinese",4,27
"rGuXwUtNoDp0_GmspjYwcA","Chinese",3.5,457
"ItZ8CzZAGXGjB8_9HxDIXg","Chinese",3,88
"ybQV8joopvU1_gG2RwLRog","Chinese",3,72
"AEkpyAGcVe5NgH2Nb7fCNQ","Chinese",3.5,183
"rK9XW6F5Hk6IZT1oJAFwtA","Chinese",3,124
"bacGm8cL-vUPHdR18_M7bw","Chinese",3.5,76
"7hh2eP4HVkyjtpcqeITk3Q","Chinese",3,113
"U0SmczzYhahOeRxftjBPSg","Chinese",3,88
"3ESDUFulPVoMJdsqPQGm0A","Chinese",3.5,73
"eQKYZWnBjPUjINAnFmrmbA","Chinese",3,359
"30pqvzHrCNmnodJCRyzrTg","Chinese",4,166
"DOa_Hm5HHT99GOvlhbydaQ","Chinese",4,41
"k8GFfCXO2FIIJIo0ICYSRA","Chinese",4,37
"V9cBgn2RFLurwg6lwuLH7w","Chinese",4,190
"kYJbGSjyXocbRrgMV-zExg","Chinese",3,104
"4-03VyMoFlXipCKh-aQcoA","Chinese",3.5,33
"RoPrfBqmRTqw_cBqcWAfYA","Chinese",4,127
"-Bh1oJYcf7XmmznR91jX_A","Chinese",4,23
"VDbMrjBq-XAKZTS_cgB9_A","Chinese",3.5,51
"GJZnf3B-ADjlCV1NXsHvGQ","Chinese",3,90
"4p5Fzyt3-mEYFKIYqZ54aA","Chinese",4.5,22
"inp9N7bo9zqQSa8h8UBhqg","Chinese",2.5,185
"BsjtLd2sBV9Kg7YZ7sRq_A","Chinese",3.5,39
"eqdqHdY1CdCRHMXf6CgK3Q","Chinese",4,93
"ZyQfNryF0YBdzGnzLoVsWQ","Chinese",3.5,35
"a2sxaQooPmq9r7Cc-Umunw","Chinese",3.5,227
"PkA0eLD1AZ0voGAmUSG9mg","Chinese",4,35
"U0EJ4URMoFHJEzAkMp4WWQ","Chinese",2.5,123
"f7QVr9xC8UWXdVz9QvbmNg","Chinese",5,50
"owKe1hapqCCLnme2Xr3mrA","Chinese",3.5,54
"2pnhIRBUw58PpN8CQEYiZA","Chinese",3.5,51
"S2NwTMDe4Vcs6nAoTeMYlA","Chinese",3.5,317
"Hlqadgkg87_ZJf2otxTNww","Chinese",3.5,50
"yDfgB1nvvuABZVzVjoJV7A","Chinese",4,60
"DH6vM_NdIN5q-xfiHnJ3mA","Chinese",3.5,229
"tA_AoGEL_oGllbU2j77Shw","Chinese",5,26
"ru9KtvY8f_b2SKrKwtS3CA","Chinese",4,79
"3rCA4ZFJoxCLosUB8CqlbQ","Chinese",2.5,98
"AA54rKcNIMglGhofj0huvg","Chinese",4,35
"w0pDi_iMZd5MqYQ7t5q1dQ","Chinese",3.5,43
"9j5r0NlYKRkBTVvnAcUcwg","Chinese",3,58
"ZdLS7gD1ulmCPkqNc9_S3A","Chinese",3.5,105
"WgQkB7cbPNgj0pLin7gQtw","Chinese",3,70
"nXh79laNQ7leN92F5Ore-Q","Chinese",4,28
"lv0qUfiaHPXKO8lfYu6R4g","Chinese",4,28
"Aux2Mp7bGnF3S6h60ab3iQ","Chinese",4,26
"01m-oqxaCifh0s0eU03bBg","Chinese",3,54
"JRSAnPCs3jgiRVvE9j2S7g","Chinese",3,60
"3kq1_dUIPrA6BFTuX-M6mw","Chinese",4.5,12
"y8xZmhrp6zKnxJNtqFa_8g","Chinese",4,28
"54om5q7V4anmIXw2PdNJbA","Chinese",4,25
"XH2CNWlLU2HXROsT5NkCmA","Chinese",3,71
"EP5F-WYOuJ22NrCyNWYccA","Chinese",3,67
"RQRQOO_CGhj16AIz4KqlQA","Chinese",4,16
"D-PPbfPcCNyKs7w0J4tMvQ","Chinese",3,71
"2tR7d61tBGNlGaJRYvrN0Q","Chinese",3.5,132
"l4fdf4e_xFvNnKqfdm3SLg","Chinese",4.5,11
"gAugxpTjPNbMK86dvXirJQ","Chinese",4,26
"J9kON4T_XtDPDk6jRoR5xA","Chinese",3,52
"sXA1aTe4MVUgBpQUiISAyg","Chinese",3,448
"EN9_LsFpY44Hkzcnu0jfIg","Chinese",4,27
"oSMFe-10TyH40NIXG0Zahw","Chinese",3.5,336
"_5E5cZP0PzkwfdEqTebBUg","Chinese",3.5,36
"BkXb82Y2OIsQ5RpNNQOYmQ","Chinese",4,89
"3W6S2wraTAj5y4Cd8eQvvw","Chinese",4,111
"rtucksGJ2MebjJ0PqjIPaw","Chinese",3,55
"kLSWg3Qa4ZpPdSW_3IkNpA","Chinese",3,62
"5u4T6-Z-KhHrRZ9g54pugQ","Chinese",4,21
"gxEYxWqKVhs8xBw9Lvd7hA","Chinese",3.5,44
"Ja4MWGAyPw74Oy6HJ5RizA","Chinese",2.5,139
"HHkTmzDBE9sGWvtSW9Ne8A","Chinese",3.5,267
"gWaK8OEXawE43-Di0ykTNQ","Chinese",2.5,82
"BUB1ej9y5RBseuy5VyOpxw","Chinese",3.5,24
"98SsKXNs37ohAQERZbBPJg","Chinese",3,55
"MzA6gitJKqfW4VrdS7AiQw","Chinese",4.5,47
"RGHkyFGy1WKG4HgIWFxlxg","Chinese",3,41
"5sG_S51rleFhCKLgQpXc_g","Chinese",3.5,53
"vPbJRg5umcRMELTDsJik_A","Chinese",3.5,30
"4zuvAX0g_h_vBgE34oALhg","Chinese",4,28
"2VQDEQuK3xLFNktPBIpmuQ","Chinese",4,23
"DpfE0gPBXj-aj2pnEh4E2Q","Chinese",4,100
"pmJqb7-EckluXUk6Rtml6A","Chinese",3,71
"yDS7SUTAe6y3BYKdepIrbg","Chinese",3.5,149
"tS4aiWBYgzlqKX898jr3_w","Chinese",4,128
"Mj4o7xAFTVm_uXTF3cZPAw","Chinese",3.5,33
"51DwJDP5TOlsCQYc0GQdVQ","Chinese",3,50
"6t22uVBh30DFT88rQ5e95A","Chinese",3.5,28
"LrFnMmjirO9jtyo0tTdfVg","Chinese",3,45
"xd_8cHyPO8sjIV8JMojHnw","Chinese",2.5,84
"K0qsGnFv-edPDqVBdLCocQ","Chinese",4,55
"SyEJPitYvvjrnnSXOzGcDA","Chinese",3.5,19
"AbfZkSRMtiHE3naWrN-0Eg","Chinese",3.5,39
"Yo6D3B8TP_xdN1yaoNc0Ww","Chinese",3.5,30
"EDLKX7cCxPbmbmo1XG3xJQ","Chinese",3,416
"OX2B4KARPKNTxC39wpcqDA","Chinese",3.5,27
"cZ2Nkl7Z_sCvanOoruvxHQ","Chinese",3,55
"LqMHxKckcnSRWrJ6T_irnw","Chinese",3.5,66
"aQi6bKQoIZbGbMc6WvKJaw","Chinese",4,103
"5tWpAFpF618KJxBhHJzF7g","Chinese",4.5,18
"N05331bMRnUwz48pRRvD7g","Chinese",2.5,93
"DjLxykRuP8OFtGtPPZpfdQ","Chinese",4,57
"b7uTP_afs5Gkf66K7yDl-w","Chinese",4.5,10
"lmiwPS9tl3cyMDGDeVstqQ","Chinese",3.5,108
"5uTJ_4fWfT1ImuwCLN9xGA","Chinese",3,309
"b2d8CP6sKQotFjzZX0Thtw","Chinese",4,14
"h4co9O0SLuvhTtr_Cs9IIQ","Chinese",3.5,22
"YIwYw_A_LRwK66HBTzogYQ","Chinese",4,70
"itpneDeppuRBH20x1XUlvw","Chinese",3.5,23
"F2KRHRtnIAZJezs9UC2u6w","Chinese",3,42
"6uPtOyrxXV8y1y8pvLU2pA","Chinese",3,52
