"id","cuisine","rating","review_count","recommended"
"""R3gSQGB3aEmVpwbKIgOPqg""","""Italian""",4.5,202,1
"""zxMoUHqFiI3rKoKdY8SFwg""","""Mexican""",3,630,0
"""-yvRcO3ab1KRHtXtGA2IMg""","""Italian""",3.5,391,0
"""OCTiJwvjoK81WoDwsTkFvA""","""Italian""",3.5,471,0
"""B3_K2kUVbYOU0VaLcj_LTw""","""Thai""",4.5,1468,1
"""XPuCR_UaPliuNQMzU2pNlQ""","""Italian""",3,533,0
"""HvgrpROomwRg-pATqaV8oQ""","""Japanese""",3.5,413,0
"""jdNdy-MwBtnXoBGC_JVvwQ""","""Italian""",4.5,876,1
"""y5eCwBwwYGIAqQrinwfiBg""","""American""",3,689,0
"""3gqKLANaXNsHZnPDjKrcTg""","""American""",4.5,230,1
"""l7RpTuovYPl2GsJiopIaBg""","""Korean""",2.5,457,0
"""eIPiRkf6KCo9A9Ok-Nr_ow""","""Korean""",3.5,1388,0
"""s4_ruNWE136n8awcA9oBbA""","""American""",3.5,426,0
"""zzVeJukpmXchLTQQhxzQjQ""","""American""",3.5,397,0
"""nRO136GRieGtxz18uD61DA""","""American""",4.5,1781,1
"""X8ZS-dgiMIJvhwf9SaDnjw""","""Chinese""",4.5,945,1
"""p7HH7fLzx_H1y2hkttYxtg""","""Japanese""",3.5,415,0
"""9v-JAffC6qw8Xp67BICByQ""","""Chinese""",3.5,389,0
"""rEbwps11tIERRkwQrIXQog""","""Chinese""",3.5,737,0
"""2hmhZim4bX2lbjPSNc7LaA""","""Mexican""",3.5,371,0
"""vtKxYnrZld4w6wG82Vm4pg""","""American""",3.5,543,0
"""fVbUVAiLiGgLA_nxBFxyww""","""Korean""",4.5,834,1
"""HM7Mz6Hpxts58JJP7qELNQ""","""Indian""",4.5,276,1
"""0Tvwk0hvgaY0QVIsZGTZKQ""","""Italian""",4.5,374,1
"""OTpQbSQNGiGudqJKJASmpw""","""Italian""",4.5,437,1
"""tIjQyHOubGeKRnx4wSwOeA""","""Indian""",4.5,450,1
"""PBUIaPtgnhmdHE3KHglK-g""","""American""",4.5,1679,1
"""6Ct7OeTRn4caY9g0swFBsw""","""Mexican""",4.5,580,1
"""PdzL9svqapSqH4o8bF86Pw""","""Indian""",4.5,348,1
"""_LJFf9YqpYxvExTvVxb7Rw""","""American""",4.5,809,1
"""_gzXNKarTxagBp6_PkmQKw""","""American""",4.5,1421,1
"""qLLxS7RwNEjP_jq_KQrPfA""","""American""",4.5,1734,1
"""M2wnfA4K3DVwuAv0DCPTdQ""","""American""",4.5,246,1
"""D0LsGudLqLabXbhEPMkw6A""","""Italian""",4.5,240,1
